Code,gdp_Value,date
LVA,-0.210356375,01-01-2021
LVA,2.099321344,01-04-2022
CZE,0.890707918,01-04-2019
CZE,0.78597745,01-07-2019
CZE,0.5484853,01-10-2019
CZE,0.629132155,01-01-2019
CZE,-3.388261018,01-04-2020
CZE,-8.893719052,01-07-2020
CZE,6.71354468,01-10-2020
CZE,0.805777108,01-01-2020
CZE,-0.301200306,01-04-2021
CZE,1.372034668,01-07-2021
CZE,1.662411077,01-10-2021
CZE,0.798692003,01-01-2021
CZE,0.699990862,01-04-2022
POL,1.894577507,01-04-2019
POL,0.762161685,01-07-2019
POL,0.85558036,01-10-2019
POL,0.43885319,01-01-2019
POL,0.57292124,01-04-2020
POL,-9.157659179,01-07-2020
POL,7.253206034,01-10-2020
POL,-0.121776907,01-01-2020
POL,1.687184208,01-04-2021
POL,1.882128647,01-07-2021
POL,2.45427948,01-10-2021
POL,1.629214201,01-01-2021
DEU,1.054195089,01-04-2019
DEU,-0.492566052,01-07-2019
DEU,0.410949135,01-10-2019
DEU,-0.074416587,01-01-2019
DEU,-1.763973605,01-04-2020
DEU,-9.996215611,01-07-2020
DEU,9.043062505,01-10-2020
DEU,0.743386255,01-01-2020
DEU,-1.684226516,01-04-2021
DEU,2.173700733,01-07-2021
DEU,1.669530332,01-10-2021
DEU,-0.347188837,01-01-2021
DEU,0.197742042,01-04-2022
IDN,1.23123881,01-04-2019
IDN,1.269210748,01-07-2019
IDN,1.11578398,01-10-2019
IDN,0.993137006,01-01-2019
IDN,-0.765689066,01-04-2020
IDN,-6.349299624,01-07-2020
IDN,2.928083984,01-10-2020
IDN,2.123457233,01-01-2020
IDN,0.763336226,01-04-2021
IDN,1.500252887,01-07-2021
IDN,-0.76024005,01-10-2021
IDN,3.12766756,01-01-2021
IDN,0.888189339,01-04-2022
LUX,1.379247734,01-04-2019
LUX,1.69879513,01-07-2019
LUX,-0.383252538,01-10-2019
LUX,-0.159442997,01-01-2019
LUX,-1.101764071,01-04-2020
LUX,-6.225895555,01-07-2020
LUX,7.998240166,01-10-2020
LUX,0.537921425,01-01-2020
LUX,3.752839284,01-04-2021
LUX,0.030523135,01-07-2021
LUX,0.480884204,01-10-2021
LUX,0.512538741,01-01-2021
ZAF,-0.976457995,01-04-2019
ZAF,0.488060038,01-07-2019
ZAF,-0.019313291,01-10-2019
ZAF,0.063450117,01-01-2019
ZAF,0.136212184,01-04-2020
ZAF,-17.39410024,01-07-2020
ZAF,13.89253169,01-10-2020
ZAF,2.548716912,01-01-2020
ZAF,1.04085909,01-04-2021
ZAF,1.317869153,01-07-2021
